feature_name,feature_group,data_source,calculation_timing,uses_labels,uses_validation_info,uses_entity_id,uses_row_ordering,uses_post_outcome,allowed_range,missing_behavior,leakage_audit_status
name_exact_clean,G1_name,business_name,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if either name missing,PASSED (Zero Label Leakage)
name_compact_exact,G1_name,business_name,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if either name missing,PASSED (Zero Label Leakage)
name_token_jaccard,G1_name,business_name,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if empty token sets,PASSED (Zero Label Leakage)
name_token_overlap_coeff,G1_name,business_name,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if empty token sets,PASSED (Zero Label Leakage)
name_char_ngram_cosine,G1_name,business_name,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if empty string,PASSED (Zero Label Leakage)
name_edit_similarity,G1_name,business_name,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if empty string,PASSED (Zero Label Leakage)
name_prefix_match_len,G1_name,business_name,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if empty string,PASSED (Zero Label Leakage)
name_length_ratio,G1_name,business_name,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if max len 0,PASSED (Zero Label Leakage)
name_first_token_match,G1_name,business_name,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if tokens missing,PASSED (Zero Label Leakage)
name_sorted_token_jaccard,G1_name,business_name,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if tokens missing,PASSED (Zero Label Leakage)
addr_exact_clean,G2_address,business_address,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if either address missing,PASSED (Zero Label Leakage)
addr_token_jaccard,G2_address,business_address,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if empty address tokens,PASSED (Zero Label Leakage)
addr_token_overlap_coeff,G2_address,business_address,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if empty address tokens,PASSED (Zero Label Leakage)
addr_char_ngram_cosine,G2_address,business_address,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if empty string,PASSED (Zero Label Leakage)
addr_numeric_exact_match,G2_address,business_address,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if numeric tokens missing,PASSED (Zero Label Leakage)
addr_numeric_jaccard,G2_address,business_address,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if numeric tokens missing,PASSED (Zero Label Leakage)
addr_postal_match,G2_address,business_address,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[-1.0, 1.0]",-1.0 (imputed as missing flag) or 0.0,PASSED (Zero Label Leakage)
addr_is_missing_either,G2_address,business_address,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]","1.0 if missing, 0.0 otherwise",PASSED (Zero Label Leakage)
country_exact_match,G3_country_source,country,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if missing,PASSED (Zero Label Leakage)
source_is_s2,G3_country_source,candidate_source,Pairwise candidate scoring,NO,NO,YES (datasource prefix S2/S3 only),NO,NO,"[0.0, 1.0]",0.0,PASSED (Zero Label Leakage)
source_is_s3,G3_country_source,candidate_source,Pairwise candidate scoring,NO,NO,YES (datasource prefix S2/S3 only),NO,NO,"[0.0, 1.0]",0.0,PASSED (Zero Label Leakage)
is_cross_script_pair,G6_cross_script,business_name,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0,PASSED (Zero Label Leakage)
translit_name_token_jaccard,G6_cross_script,business_name,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if not cross-script or empty,PASSED (Zero Label Leakage)
translit_name_char_ngram_cosine,G6_cross_script,business_name,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if not cross-script or empty,PASSED (Zero Label Leakage)
is_domain_name_pair,G7_domain,business_name,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0,PASSED (Zero Label Leakage)
domain_compact_match,G7_domain,business_name,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if no domain or <5 chars,PASSED (Zero Label Leakage)
leetspeak_exact_match,G8_leetspeak,business_name,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0 if <4 chars,PASSED (Zero Label Leakage)
accent_stripped_match,G8_leetspeak,business_name,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0,PASSED (Zero Label Leakage)
shared_rare_token_count,G4_rarity,unsupervised_corpus,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0, inf)",0.0,PASSED (Zero Label Leakage)
min_shared_token_idf,G4_rarity,unsupervised_corpus,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 15.0]",0.0 if no shared tokens,PASSED (Zero Label Leakage)
retrieval_support_count,G5_provenance,retrieval_pipeline,Blocking candidate generation,NO,NO,NO,NO,NO,"[1, 10]",1.0 (at least one block),PASSED (Zero Label Leakage)
retrieved_by_exact_name,G5_provenance,retrieval_pipeline,Blocking candidate generation,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0,PASSED (Zero Label Leakage)
retrieved_by_sorted_name,G5_provenance,retrieval_pipeline,Blocking candidate generation,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0,PASSED (Zero Label Leakage)
retrieved_by_name_numeric,G5_provenance,retrieval_pipeline,Blocking candidate generation,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0,PASSED (Zero Label Leakage)
retrieved_by_char_ngram,G5_provenance,retrieval_pipeline,Blocking candidate generation,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0,PASSED (Zero Label Leakage)
retrieved_by_domain,G5_provenance,retrieval_pipeline,Blocking candidate generation,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0,PASSED (Zero Label Leakage)
retrieved_by_tfidf,G5_provenance,retrieval_pipeline,Blocking candidate generation,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0,PASSED (Zero Label Leakage)
tfidf_similarity_score,G5_provenance,retrieval_pipeline,Blocking candidate generation,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0,PASSED (Zero Label Leakage)
tfidf_rank,G5_provenance,retrieval_pipeline,Blocking candidate generation,NO,NO,NO,NO,NO,"[1.0, 1000.0]",1000.0,PASSED (Zero Label Leakage)
inter_name_x_addr_jaccard,G9_interactions,derived_interaction,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0,PASSED (Zero Label Leakage)
inter_name_exact_x_addr_jaccard,G9_interactions,derived_interaction,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0,PASSED (Zero Label Leakage)
inter_name_jaccard_x_country,G9_interactions,derived_interaction,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 1.0]",0.0,PASSED (Zero Label Leakage)
inter_support_x_name_jaccard,G9_interactions,derived_interaction,Pairwise candidate scoring,NO,NO,NO,NO,NO,"[0.0, 5.0]",0.0,PASSED (Zero Label Leakage)
