feature_name,group,description,data_source,raw_or_derived,missing_behavior,allowed_range,leakage_risk,computation_cost,enabled
name_exact_clean,G1_name,Exact equality of normalized legal-suffix-stripped business names,business_name,derived,0.0 if either name missing,"[0.0, 1.0]",Zero leakage; computed purely from query and target strings,O(1),True
name_compact_exact,G1_name,Exact equality of compact alphanumeric names (no whitespace/punctuation),business_name,derived,0.0 if either name missing,"[0.0, 1.0]",Zero leakage,O(1),True
name_token_jaccard,G1_name,Jaccard similarity over word tokens of stripped business names,business_name,derived,0.0 if empty token sets,"[0.0, 1.0]",Zero leakage,O(N + M),True
name_token_overlap_coeff,G1_name,"Overlap coefficient: intersection / min(|tokens_q|, |tokens_t|)",business_name,derived,0.0 if empty token sets,"[0.0, 1.0]",Zero leakage,O(N + M),True
name_char_ngram_cosine,G1_name,Cosine similarity over character 3-gram multiset vectors,business_name,derived,0.0 if empty string,"[0.0, 1.0]",Zero leakage,O(L1 + L2),True
name_edit_similarity,G1_name,"Normalized Levenshtein ratio: 1 - distance / max(len1, len2)",business_name,derived,0.0 if empty string,"[0.0, 1.0]",Zero leakage,O(L1 * L2) - bounded by max len 60,True
name_prefix_match_len,G1_name,Length of longest common prefix between normalized names normalized by min len,business_name,derived,0.0 if empty string,"[0.0, 1.0]",Zero leakage,"O(min(L1, L2))",True
name_length_ratio,G1_name,"Ratio of min(len1, len2) / max(len1, len2)",business_name,derived,0.0 if max len 0,"[0.0, 1.0]",Zero leakage,O(1),True
name_first_token_match,G1_name,Binary indicator if the first informative name token matches exactly,business_name,derived,0.0 if tokens missing,"[0.0, 1.0]",Zero leakage,O(1),True
name_sorted_token_jaccard,G1_name,Jaccard similarity on word order-invariant sorted tokens,business_name,derived,0.0 if tokens missing,"[0.0, 1.0]",Zero leakage,O(N log N),True
addr_exact_clean,G2_address,Exact equality of standard cleaned address strings,business_address,derived,0.0 if either address missing,"[0.0, 1.0]",Zero leakage,O(1),True
addr_token_jaccard,G2_address,Jaccard similarity over word tokens of cleaned addresses,business_address,derived,0.0 if empty address tokens,"[0.0, 1.0]",Zero leakage,O(N + M),True
addr_token_overlap_coeff,G2_address,"Overlap coefficient: intersection / min(|addr_q|, |addr_t|)",business_address,derived,0.0 if empty address tokens,"[0.0, 1.0]",Zero leakage,O(N + M),True
addr_char_ngram_cosine,G2_address,Cosine similarity over character 3-grams of address strings,business_address,derived,0.0 if empty string,"[0.0, 1.0]",Zero leakage,O(L1 + L2),True
addr_numeric_exact_match,G2_address,Binary indicator if all numeric plot/street numbers match exactly,business_address,derived,0.0 if numeric tokens missing,"[0.0, 1.0]",Zero leakage,O(K1 + K2),True
addr_numeric_jaccard,G2_address,Jaccard similarity over numeric street and house numbers,business_address,derived,0.0 if numeric tokens missing,"[0.0, 1.0]",Zero leakage,O(K1 + K2),True
addr_postal_match,G2_address,Exact match of 5 or 6 digit postal/PIN codes extracted from address,business_address,derived,-1.0 (imputed as missing flag) or 0.0,"[-1.0, 1.0]",Zero leakage,O(1),True
addr_is_missing_either,G2_address,Binary flag if either query or target address is empty/missing,business_address,derived,"1.0 if missing, 0.0 otherwise","[0.0, 1.0]",Zero leakage,O(1),True
country_exact_match,G3_country_source,Open-set exact match indicator between query and candidate country strings,country,derived,0.0 if missing,"[0.0, 1.0]","Zero leakage; completely open-set (US, India, France handled generically)",O(1),True
source_is_s2,G3_country_source,Binary indicator if candidate originates from Source 2,candidate_source,derived,0.0,"[0.0, 1.0]",Zero leakage; describes data origin only,O(1),True
source_is_s3,G3_country_source,Binary indicator if candidate originates from Source 3,candidate_source,derived,0.0,"[0.0, 1.0]",Zero leakage,O(1),True
is_cross_script_pair,G6_cross_script,Binary indicator if pair contains one Latin name and one Indic script name,business_name,derived,0.0,"[0.0, 1.0]",Zero leakage; rule-based Unicode character detection,O(L),True
